	Organization		Sponsorship Category		Years		Allocation																						
	Surfrider Foundation UC Berkeley Club		SAG		4		$500																						
	Swim Club at Berkeley		SAG		1		$400																						
	T.I.n.Y. Chinese Theatre Group		SAG		4		$500																						
	Taiwanese American Student Association		SAG		23		"$2,010"																						
	Taiwanese Student Association		SAG		23		"$3,000"																						
	Tau Beta Pi		SAG		2		Sponsorship Only																						
	Team Velocipraptors		SAG		1		Sponsorship Only																						
	The Bearettes at Berkeley Drill Team		SAG		2		$400																						
	The Berkeley Forum		SAG		9		"$10,651"																						
	The Book Club of Berkeley		SAG		1		$280																						
	The Intermission Orchestra		SAG		3		$500																						
	The Student Immigration Relief Clinic at Berkeley		SAG		2		$400																						
	Theta Tau		SAG		1		$400																						
	Thrive Dance Company		SAG		7		$500																						
	Tokiha		SAG		2		$400																						
	Toppa at Berkeley		SAG		1		$400																						
	TrueLement		SAG		3		Sponsorship Only																						
	Turkish Student Association of Berkeley		SAG		2		$400																						
	UC Berkeley Indus		SAG		31		"$15,000"																						
	UC Berkeley Model United Nations		SAG		27		"$9,200"																						
	UC Jazz Ensembles		SAG		32		"$4,000"																						
	UC Rally Committee		SAG		119		"$40,000"																						
	Undergraduate Communications Association		SAG		5		$500																						
	Undergraduate Economics Association		SAG		19		$400																						
	Undergraduate Legal Honor Society		SAG		3		$405																						
	Undergraduate Political Science Association		SAG		2		$400																						
	Undergraduate Real Estate Club		SAG		5		"$1,500"																						
	Undergraduate Student Council of the College of Environmental Design		SAG		1		$55																						
	Undergraduate Women in Economics		SAG		2		$400																						
	United Nations Association of Berkeley		SAG		1		$175																						
	UNITY Resource Center		SAG		1		$400																						
	Universities Allied for Essential Medicines		SAG		5		$750																						
	Upsilon Pi Epsilon		SAG		1		$400																						
	UpSync		SAG		4		$500																						
	Valley Consulting Group		SAG		4		$500																						
	Vex U Robotics at Berkeley		SAG		2		$400																						
	VISION		SAG		8		"$1,500"																						
	Voyager Consulting		SAG		6		$500																						
	Quiz Bowl Club		SAG		1		Sponsorship Only																						
	Wave Makers of Berkeley		SAG		2		$500																						
	Web Design and Development at Berkeley		SAG		1		$300																						
	Woman-Identifying Scientists and Engineers Collective Library and Resource Center		SAG		1		$400																						
	Women and Youth Supporting Each Other		SAG		1		$400																						
	Women in Computer Science and Electrical Engineering		SAG		1		Sponsorship Only																						
	Women in Mathematics at Berkeley		SAG		6		$500																						
	Women in Politics at Berkeley		SAG		2		$400																						
	Young Americans for Liberty		SAG		1		$400																						
	Young Democratic Socialists of America at Berkeley		SAG		2		$400																						
	Zahanat		SAG		3		$500
	100 STRONG		SISG		6		"$1,000"																						
	7 Cups at Berkeley		SISG		1		$500																						
	Academic Cultural Enrichment Coaches		SISG		4		$600																						
	Active for Alzheimer's at Berkeley		SISG		1		$500																						
	"Alpha Kappa Alpha Sorority Inc., Rho Chapter"		SISG		3		$600																						
	"Alpha Phi Alpha Fraternity, Inc."		SISG		17		"$3,425"																						
	Alternative Breaks		SISG		17		"$3,500"																						
	American Red Cross at Cal		SISG		15		"$6,500"																						
	American Society for Biochemistry and Molecular Biology at Berkeley		SISG		1		$500																						
	ANova		SISG		3		Sponsorship Only																						
	Anti-Trafficking Coalition at Berkeley		SISG		11		"$2,000"																						
